,book_title,author,link,price_no_disc,price_with_disc
633,The Statistics and Calculus with Python Workshop: A...,"Alvaro Fuentes, Peter Farrell,  et al.",https://bookshop.org//books/the-statistics-and-calculus-with-python-workshop-a-comprehensive-introduction-to-mathematics-in-python-for-artificial-intelligence-applications/9781800209763,$41.99,$41.99
634,"Learn Coding Basics for Kids, Young Adults and People Who Are...","Erik D. Gross, Jack C. Stanley,  et al.",https://bookshop.org//books/learn-coding-basics-for-kids-young-adults-and-people-who-are-young-at-heart-with-python-python-computer-programming-made-easy/9798677949418,$7.99,$7.99
635,Learn programming python for beginners: The Ultimate and...,Lewis Smith,https://bookshop.org//books/learn-programming-python-for-beginners-the-ultimate-and-complete-tutorial-to-easily-get-the-python-intermediate-level-with-step-by-step-practical-exe/9781802168969,$30.99,$28.51
636,Python for DATA SCIENCE: The Complete Beginners' Guide to...,Warren Overby,https://bookshop.org//books/python-for-data-science-the-complete-beginners-guide-to-learning-python-data-science-step-by-step/9781801256308,$35.99,$33.11
637,"Programming: 3 Manuscripts: Python Crash Course, Python...",Steve Blair,https://bookshop.org//books/programming-3-manuscripts-python-crash-course-python-machine-learning-and-python-data-science-for-beginners/9781690679912,$24.99,$24.99
638,Python Para el Análisis de Datos: Una Guía para Principiantes...,John Hush,https://bookshop.org//books/python-para-el-analisis-de-datos-una-guia-para-principiantes-para-aprender-el-analisis-de-datos-con-la-programacion-python-9781801136143/9781801136143,$21.99,$20.23
639,How To Use Python: Understand The Fundamentals Of Python...,Rutha Mitton,https://bookshop.org//books/how-to-use-python-understand-the-fundamentals-of-python-programming-python-programming-for-kids/9798726696157,$9.99,$9.99
640,Python Basic: Learn Python From A To Z: Python Programming Steps,Donnie Engellant,https://bookshop.org//books/python-basic-learn-python-from-a-to-z-python-programming-steps/9798728109976,$8.99,$8.99
641,"Python: Easy Python Programming for Beginners, Your Guide to...",Felix Alvaro,https://bookshop.org//books/python-easy-python-programming-for-beginners-your-guide-to-learning-python/9781539509660,$29.95,$29.95
642,"Python: This Book Includes: Deep Learning with Python, Python...",Daniel Geron,https://bookshop.org//books/python-this-book-includes-deep-learning-with-python-python-for-data-analysis/9781694119056,$22.99,$22.99
643,Python Level: Python For Beginners: Learn Python The Hard Way,Javier Giuliano,https://bookshop.org//books/python-level-python-for-beginners-learn-python-the-hard-way/9798728116097,$8.99,$8.99
644,Python Crash Course for Experts: The Complete Guide to Learn...,Brian S. Downey,https://bookshop.org//books/python-crash-course-for-experts-the-complete-guide-to-learn-expert-concepts-advanced-python-programming-to-learn-and-effectively-understand-python-p/9781801140287,$19.97,$18.37
645,"Python, Pygame, and Raspberry Pi Game Development",Sloan Kelly,https://bookshop.org//books/python-pygame-and-raspberry-pi-game-development/9781484245323,$37.99,$34.95
646,Python for Beginners: The Ultimate Guide to Python...,Joshua Welsh,https://bookshop.org//books/python-for-beginners-the-ultimate-guide-to-python-programming-learn-python-fast/9781541149137,$17.99,$17.99
647,"Python Programming: Python Programming for Beginners, Python...",Sarah Stewart,https://bookshop.org//books/python-programming-python-programming-for-beginners-python-programming-for-intermediates/9781951339944,$24.99,$22.99
648,Machine Learning Pocket Reference: Working with Structured...,Matt Harrison,https://bookshop.org//books/machine-learning-pocket-reference-working-with-structured-data-in-python/9781492047544,$24.99,$22.99
649,The Spirit Of Python & His Greatest Deception,Paula Cross,https://bookshop.org//books/the-spirit-of-python-his-greatest-deception/9781499610208,$6.95,$6.95
650,Hacking Discrete Math With Python 3,Isabella Romeo,https://bookshop.org//books/hacking-discrete-math-with-python-3/9781720405979,$21.99,$21.99
651,Linux and Python for Beginners New Edition: This Book...,Michael Learn,https://bookshop.org//books/linux-and-python-for-beginners-new-edition-this-book-includes-linux-for-beginners-learn-python-programming-9781802260960/9781802260960,$29.99,$27.59
652,Learn Python Programming: A Beginners Crash Course on Python...,Russel R. Russo,https://bookshop.org//books/learn-python-programming-a-beginners-crash-course-on-python-language-for-getting-started-with-machine-learning-data-science-and-data-analytics-9781801118606/9781801118606,$21.97,$20.21
653,Python: Learn Python in 24 Hours or Less - A Beginner's Guide...,Robert Dwight,https://bookshop.org//books/python-learn-python-in-24-hours-or-less-a-beginner-s-guide-to-learning-python-programming-now/9781535000345,$9.95,$9.95
654,Python: Learn Python Programming in One Week with...,Michael Lombard,https://bookshop.org//books/python-learn-python-programming-in-one-week-with-step-by-step-tutorials-learn-python-programming-in-one-week-with-step-by-st/9798644385539,$15.00,$13.80
655,Python Programming Techniques: The Art of Coding and...,Lance Gifford,https://bookshop.org//books/python-programming-techniques-the-art-of-coding-and-programming-explained/9781632873187,$6.93,$6.93
656,"Coding: 3 books in 1: ""Python Coding and Programming + Linux...",Michael Clark and Michael Learn,https://bookshop.org//books/coding-3-books-in-1-python-coding-and-programming-linux-for-beginners-learn-python-programming-9781801828642/9781801828642,$55.99,$51.51
657,Hands-on JavaScript for Python Developers: Leverage your...,Sonyl Nagale,https://bookshop.org//books/hands-on-javascript-for-python-developers-leverage-your-python-knowledge-to-quickly-learn-javascript-and-advance-your-web-development-career/9781838648121,$47.99,$47.99
658,"Python: Easy Python Programming for Beginners, Your Guide to...",Felix Alvaro,https://bookshop.org//books/python-easy-python-programming-for-beginners-your-guide-to-learning-python/9781539509660,$29.95,$29.95
659,"Python: This Book Includes: Deep Learning with Python, Python...",Daniel Geron,https://bookshop.org//books/python-this-book-includes-deep-learning-with-python-python-for-data-analysis/9781694119056,$22.99,$22.99
660,Python Basic: Learn Python From A To Z: Python Programming Steps,Donnie Engellant,https://bookshop.org//books/python-basic-learn-python-from-a-to-z-python-programming-steps/9798728109976,$8.99,$8.99
661,How To Use Python: Understand The Fundamentals Of Python...,Rutha Mitton,https://bookshop.org//books/how-to-use-python-understand-the-fundamentals-of-python-programming-python-programming-for-kids/9798726696157,$9.99,$9.99
662,Python Level: Python For Beginners: Learn Python The Hard Way,Javier Giuliano,https://bookshop.org//books/python-level-python-for-beginners-learn-python-the-hard-way/9798728116097,$8.99,$8.99
663,Python & Hacking Bundle: 3 BOOKS IN 1: THE BLUEPRINT:...,Cyberpunk Architects,https://bookshop.org//books/python-hacking-bundle-3-books-in-1-the-blueprint-everything-you-need-to-know-for-python-programming-and-hacking/9781775235774,$31.47,$28.95
664,Python Programming Notebook for Computer Programmers &...,Enavfor Editing,https://bookshop.org//books/python-programming-notebook-for-computer-programmers-developers-python-data-analysis-for-kids-machine-learning-finance-a-notebook-for-pyth/9781655292217,$5.95,$5.95
665,Hacking with Python: The Complete Beginner's Guide to...,Miles Price,https://bookshop.org//books/hacking-with-python-the-complete-beginner-s-guide-to-learning-ethical-hacking-with-python-along-with-practical-examples/9781547130504,$16.31,$16.31
666,Python Programming: This Book Includes: Python for Data...,Computer Science Academy,https://bookshop.org//books/python-programming-this-book-includes-python-for-data-analysis-and-science-with-big-data-analysis-statistics-and-machine-learning-9781801255271/9781801255271,$25.99,$23.91
667,python crash course: The advanced language of technology....,James Taylor,https://bookshop.org//books/python-crash-course-the-advanced-language-of-technology-python-programming-for-ai-data-analysis-data-science-big-data-an-intermediate-9781801188852/9781801188852,$24.90,$22.91
668,Python Para el Análisis de Datos: Una Guía para Principiantes...,John Hush,https://bookshop.org//books/python-para-el-analisis-de-datos-una-guia-para-principiantes-para-aprender-el-analisis-de-datos-con-la-programacion-python-9781801136143/9781801136143,$21.99,$20.23
669,Programming: This book includes: Arduino Programming for...,Matthew Arduino and Matthew Python,https://bookshop.org//books/programming-this-book-includes-arduino-programming-for-beginners-javascript-for-beginners-linux-for-beginners-sql-for-beginner/9798626491968,$35.00,$35.00
670,"Programming: 3 Manuscripts: Python Crash Course, Python...",Steve Blair,https://bookshop.org//books/programming-3-manuscripts-python-crash-course-python-machine-learning-and-python-data-science-for-beginners/9781690679912,$24.99,$24.99
671,Must Love Snakes: Light Blue Notebook,Lizzi Python,https://bookshop.org//books/must-love-snakes-light-blue-notebook/9781796928075,$5.49,$5.49
672,Machine Learning Pocket Reference: Working with Structured...,Matt Harrison,https://bookshop.org//books/machine-learning-pocket-reference-working-with-structured-data-in-python/9781492047544,$24.99,$22.99
673,"Python, Pygame, and Raspberry Pi Game Development",Sloan Kelly,https://bookshop.org//books/python-pygame-and-raspberry-pi-game-development/9781484245323,$37.99,$34.95
674,Python: Learn Python in 24 Hours or Less - A Beginner's Guide...,Robert Dwight,https://bookshop.org//books/python-learn-python-in-24-hours-or-less-a-beginner-s-guide-to-learning-python-programming-now/9781535000345,$9.95,$9.95
675,Python: Learn Python Programming in One Week with...,Michael Lombard,https://bookshop.org//books/python-learn-python-programming-in-one-week-with-step-by-step-tutorials-learn-python-programming-in-one-week-with-step-by-st/9798644385539,$15.00,$13.80
676,Impractical Python Projects: Playful Programming Activities...,Lee Vaughan,https://bookshop.org//books/impractical-python-projects-playful-programming-activities-to-make-you-smarter/9781593278908,$29.95,$27.55
